|r|English|French|Italian|German|Spanish|Korean|Japanese|
|MASK4_DESCRIPTION|This mask belongs to Mr. Black, our ultimate foe. Wearing it will maximize your strength and abilities, to be on par with the Black Super Predator.|Ce masque appartient à Mr. Black, notre ennemi ultime. Le porter augmente votre force et vos capacités pour être à la hauteur du Prédateur Super Black|Questa maschera appartiene a Mr. Black, il nemico più forte. Se la indosserai, porterai alla massima potenza le tue abilità e sarai alla pari del Super Predator Nero.|Die Maske gehört Mr. Black, unserem Erzfeind. Trägst du sie, erhältst du maximale Stärke und Fähigkeiten um dem Schwarzen Super-Predator das Wasser reichen zu können.|Esta máscara pertenece al señor Negro, nuestro enemigo final. Llevarla maximiza tu fuerza y habilidades para estar a la par con el Súper Predator Negro.|이 마스크는 미스터 블랙, 우리의 궁극적 인 원수에 속한다. 그것을 착용하는 블랙 슈퍼 프레데터와 파에있을, 당신의 힘과 능력을 극대화 할 것입니다.|このマスクは、ミスターブラック、私たちの究極の敵に属します。それを身に着けていることはブラックスーパープレデターと同等になるように、あなたの強さと能力を最大化します。|
|MASS_MURDERER|Mass Murderer|Tueur Psychopathe|Serial Killer|Massenmörder|Asesino en masa|대량 학살자|大量殺人者|
|MELEE_WEAPON|MELEE WEAPON|ARME DE MÊLÉE|MELEE ARMA|NAHKAMPFWAFFEN|ARMA CUERPO A CUERPO|근접 무기|戦闘兵器|
|MELEE_WEAPON_SELECT|MELEE WEAPON SELECT|ICÔNE D'|ICONA DELL'ARMA|SYMBOL FÜR NAHKAMPFWAFFEN|ICONO DE ARMA CUERPO A CUERPO|근접 무기 SELECT|近接武器SELECT|
|MERCENARY_SOLDIER|Mercenary Soldier|Mercenaire|Mercenario|Söldner|Soldado mercenario|용병|傭兵|
|MISSION_COMPLETE|MISSION COMPLETE|CHASSE TERMINÉ|GIOCO DI CACCIA COMPLETO|JAGDSPIEL ABGESCHLOSSEN|JUEGO DE CAZA TERMINADO|COMPLETE MISSION|COMPLETE MISSION|
|MISSION_DESCRIPTION_1|Explore the hunting ground and track down human prey, use your wrist blade to draw your first blood and strike fear to their hearts.|Explorez le terrain de chasse et traquez vos proies humaines. Utilisez votre lame de poignet pour faire couler le sang et leur faire connaître la peur.|Esplora il terreno di caccia e segui le prede umane, utilizza la lama che hai al polso per far scorrere il primo sangue e spaventare i loro cuori.|Erkunde das Jagdrevier und spüre die menschliche Beute auf. Nutze deine Handgelenk-Klinge um erstes Blut fliessen zu lassen und Angst in ihre Herzen zu bringen.|Explora el terreno de caza y persigue a la presa humana, utiliza tu puñal de muñeca para producir la primera herida y llenar de miedo sus corazones.|사냥터를 탐구하고 인간의 먹이를 추적, 첫 번째 혈액과 그들의 마음에 파업 두려움을 그립니다 손목 블레이드를 사용합니다.|猟場を探索し、人間の獲物を追跡し、彼らの心にあなたの最初の血液やストライク恐怖を描くように手首の刃を使用しています。|
|MISSION_DESCRIPTION_10|You will now face the first of the deadliest human hunters - Stans the murderer. Darkness gives him misplaced bravery. Use thermal imagery to swiftly execute this target. His head will bring a rich reward.|Vous allez maintenant affronter votre premier prédateur humain - Stans le tueur psychopathe. La nuit lui donne un faux sentiment de puissance. Utilisez la vision thermique pour exécuter rapidement ce criminel. Sa tête vous rapportera une récompense de choix.|Ora affronterai uno dei cacciatori umani più mortali: Stans l'assassino. La notte lo rende stupidamente coraggioso. Utilizza le immagini termiche per giustiziare rapidamente questo criminale. La sua testa porterà a una ricca ricompensa.|Du wirst jetzt dem ersten der gefährlichsten menschlichen Jäger gegenübertreten - Stans, der Mörder. Die Nacht gibt ihm unangebrachten Mut. Benutze die Wärmesicht, um dieses Ziel schnell hinzurichten. Sein Tod wird reich belohnt.|Ahora te enfrentarás al primero de los cazadores humanos más mortales - Stans el asesino. La noche le da un valor impropio. Utiliza la Imagen Térmica para ejecutar rápidamente este objetivo. Su cabeza te proporcionará una rica recompensa.|당신은 지금 치명적인 인간 사냥꾼 먼저 직면하게 될 것이다 - 슈 탄스 살인자. 어둠이 그에게 잘못 용기를 준다. 신속하게이 목표를 실행하기 위해 열 이미지를 사용합니다. 그의 머리는 풍부한 보상을 가져올 것이다.|シュタンス殺人 - あなたは今、最悪の人間のハンターの最初に直面するだろう。闇は彼に置き忘れ勇気を与えます。速やかにこのターゲットを実行するために熱画像を使用してください。彼の頭には、豊かな報酬をもたらすでしょう。|
|MISSION_DESCRIPTION_11|The criminal's blood has been rewarded with the mighty Combi Stick. When used correctly, this weapon will inflict devastating wounds on human prey.|La mort de ce criminel a été récompensée par le puissant Combistick. Utilisée correctement, cette arme peut infliger des dégâts dévastateurs à vos proies humaines.|Il sangue del criminale è stato ottenuto grazie al potente Bastone combinato. Quando viene utilizzata correttamente, quest'arma infligge ferite devastanti sulle prede umane. |Das Blut des Verbrechers wurde mit dem mächtigen Combi-Stick belohnt. Richtig eingesetzt, fügt diese Waffe der menschlichen Beute verheerende Verletzungen zu.|La sangre del criminal ha sido recompensada con el poderoso Combi Stick. Cuando se utiliza correctamente, esta arma inflige heridas devastadoras a la presa humana.|범죄의 혈액은 강력한 콤비 스틱으로 보상하고있다. 올바르게 사용하면이 무기는 인간의 먹이에 치명적인 상처를 입힐 것입니다.|犯人の血液は強大なコンビスティックで報われています。正しく使用した場合、この武器は人間の餌食に壊滅的な傷を負わせるでしょう。|
|MISSION_DESCRIPTION_12|The humans are now organized into hunting packs. You must evade and out maneuver them. The rains and swollen streams will interfere with the cloak's ability to conceal.|Les humains apprennent vite, ils se sont maintenant organisés en équipes de chasse. Vous devez apprendre à leur échapper. Utilisez votre générateur de camouflage, mais attention, la pluie et les rivières l'empêcheront de fonctionner.|Gli umani ora sono organizzati in gruppi di caccia. Devi evitarli e sventare i loro piani. Le piogge e i ruscelli interferiranno con l'abilità del mantello di nasconderti.|Die Menschen sind jetzt in eigenen Jagdrudeln organisiert. Du musst ihnen ausweichen und sie ins Abseits drängen. Der Regen und das Hochwasser Gewässer stören die Tarnfunktion des Mantels.|Los humanos están ahora organizados en partidas de caza. Debes esquivarlos y que no te vean. Las lluvias y las corrientes interferirán con la capacidad de ocultación de la capa.|인간은 이제 사냥 팩으로 구성되어 있습니다. 당신은 회피하고 그들을 밖으로 기동해야합니다. 비가 부어 스트림을 은폐하는 은폐의 능력을 방해합니다.|人間は現在、狩猟パックに編成されています。あなたは回避して、それらを操縦しなければなりません。雨と腫れストリームは隠すためにマントの能力に干渉します。|
|MISSION_DESCRIPTION_13|Seek out the one that directs their new tactics, cut off the head of this leader. Respect this warrior and kill him with honor. |Trouvez celui qui organise leurs nouvelles tactiques, coupez la tête de leur chef. Respectez ce guerrier et tuez-le avec honneur.|Cerca quello che fornisce loro le tattiche e taglia la testa di questo leader. Rispetta questo guerriero e uccidilo con onore.|Mach denjenigen ausfindig, der ihre neue Taktik regelt. Schneide diesem Führer den Kopf ab. Respektiere diesen Krieger und töte ihn mit Ehre.|Busca al que dirige sus nuevos ataques, corta la cabeza de este líder. Respeta a este guerrero y mátalo con honor.|그들의 새로운 전술을 지시 하나를 찾아이 지도자의 머리를 잘라. 이 전사를 존중하고 명예 그를 죽인다.|この指導者の頭を切り落とし、彼らの新たな戦術を指示するものを探し出す。この戦士を尊重し、名誉をもって彼を殺す。|
|MISSION_DESCRIPTION_14|You must be careful not to sustain injury during close combat. The net gun snares and immobilizes human prey. Kill with impunity. Trap and tear apart 10 humans to complete this mission.|Vous devez faire attention à ne  pas être blessé en combat rapproché. Le lance-filet immobilise votre proie. Tuez impunément. Capturez et massacrez 10 humains de cette façon.|Devi fare maggiore attenzione a non rimanere ferito nei combattimenti corpo a corpo. La pistola lanciarete catturerà la preda umana. Intrappola e strazia 10 umani per andare avanti.|Du musst aufpassen, im Nahkampf keine dauerhaften Verletzungen davon zu tragen. Die Netzkanone fängt menschliche Beute ein und macht sie bewegungsunfähig. Fange so 10 Menschen und reiße sie in Stücke, um  diese Mission abzuschließen.|Debes tener cuidado para no sufrir heridas en el combate de cerca. El arma de red atrapa e inmoviliza a la presa humana. Mata con impunidad. Atrapa y destroza a 10 humanos para completar esta misión.|당신은 가까운 전투 중에 부상을 유지하지 않도록주의해야합니다. 그물 총을 함정에 빠뜨리고과 인간의 먹이를 움직이게. 무사로 킬하십시오. 함정이 임무를 완수하는 10 가지 인간을 찢어.|あなたは、近接戦闘時に怪我を維持しないように注意しなければなりません。ネット銃はスネアと人間の獲物を固定。大手を振って殺す。トラップし、このミッションを完了するために10人間を引き裂く。|
|MISSION_DESCRIPTION_15|Human strength lies in numbers and the light suits their eyes. Darkness has now descended, leaving them blind and helpless. Wait until they are alone and strike them silently and swiftly. Leave nothing but stains of blood to welcome the dawn.|ils soient seuls et frappez vite et en silence. Ne laissez derrière vous que des flaques de sang pour accueillir l'|assenza della luce del Sole crea difficoltà alla loro vista. Aspetta fino a quando saranno soli e poi colpiscili silenziosamente e rapidamente. Lascia soltanto delle macchie di sangue per dare il bevenuto all'|Die Stärke der Menschen liegt in ihrer Anzahl. Doch Dunkelheit bricht jetzt herein. Ohne das Sonnenlicht sind die Menschen blind und hilflos. Warte, bis sie alleine sind und töte sie lautlos und schnell. Hinterlasse nichts als Blutlachen, um die Morgendämmerung zu begrüßen.|La fuerza de los humanos reside en su número. La oscuridad ahora ha descendido. Sin la luz del sol los humanos se quedan ciegos e impotente, mientras que la lluvia ensordecedora impide que puedan oír. No dejes nada más que manchas de sangre para recibir el amanecer.|인간의 힘은 숫자로 거짓말과 빛은 눈을 적응시킨다. 어둠이 지금은 맹인과 무력 떠나, 내려하고있다. 그들은 혼자 조용히하고 신속하게 그들을 공격 할 때까지 기다립니다. 새벽을 환영 혈액 만 얼룩 아무것도를 남겨주세요.|人間の強さは数字にあり、光が彼らの目に合った。闇は今それらは盲目と無力なまま、降りてきた。彼らは独りになるまで待ってから、静かにかつ迅速にそれらを打つ。夜明けを歓迎するために、血液の汚れが、何も残さない。|
|MISSION_DESCRIPTION_16|The Disc covers a large area. Take out more than one enemy at a time. You will need to maximize the kill rate as their wrath may overcome your own. It is time to drive them into the final killing place.|Le disque peut couvrir une large zone et tuer plusieurs ennemis en même temps. Il est temps de leur faire vivre l'enfer.|arrivato il momento di portarli nell'|Die Wurfklinge deckt eine großen Bereich ab. Schalte mehrere Feinde mit nur einem Wurf aus. Es ist an der Zeit, sie zum finalen Schlachtfeld zu bringen.|La Espada Arrojadiza cubre un área grande. Elimina a más de un enemigo por ataque. Es el momento de llevarlos al sitio de matanza final.|디스크는 큰 영역을 다룹니다. 한 번에 하나 이상의 적을 꺼냅니다. 그들의 분노는 자신을 극복 할 수 있으므로 당신은 살인 속도를 극대화해야합니다. 최종 살해 장소에 그들을 운전하는 시간입니다.|ディスクは、大規模な領域をカバーしています。一度に複数の敵を取る。あなたは、彼らの怒りは自分を克服する可能性があるのでキル率を最大化することが必要になります。最終的な殺害場所にそれらを駆動するための時間がそれです。|
|MISSION_DESCRIPTION_17|Well done, you have delivered them to death. The time has now come to put your close combat skills to the test. You will now face Hanzo, a true sword master, and you will need to use all of your combat knowledge to outwit his Samurai sword.|Bravo, vous les avez tous tués. Le moment est venu de tester vos compétences en combat au corps à corps. Vous allez maintenant affronter Hanzo, un véritable maître d'armes. Vous aurez besoin de toutes vos attaques spéciales pour le tuer et échapper à son sabre de samouraï.|Ben fatto, li hai portati verso la morte. È arrivato il momento di mettere alla prova le tue doti di combattimento corpo a corpo. Ora affronterai Hanzo, un maestro della spada, e dovrai utilizzare tutte le tue forse per sopravvivere agli attacchi del Samurai.|Gut gemacht, du hast sie dem Tod serviert. Nun ist die Zeit gekommen, deine Nahkampf-Fähigkeiten zu testen. Du triffst jetzt auf Hanzo, einen echten Meister des Schwerts, und wirst all deine Kampferfahrung brauchen, um sein Samurai-Schwert zu überlisten.|Bien hecho, los has llevado a la muerte. Ha llegado la hora de poner a prueba tus habilidades para el combate de cerca. Ahora te enfrentarás a un verdadero maestro de la espada y necesitarás utilizar todo  tu conocimiento de combate para burlar su espada Samurai.|잘, 당신은 죽음에이를 전달했다. 시간은 시험에 가까운 전투 기술을 넣어왔다. 당신은 지금 한조, 진정한 검 마스터에 직면하게 될 것이다, 당신은 그의 사무라이 칼을 ...의 의표를 찌르다하기 위해 전투 기술을 모두 사용해야합니다.|よくやった、あなたは死にそれらを提供してきました。現在の時刻は、テストへの近接戦闘のスキルを置くようになってきた。あなたは今、半蔵、真剣マスターに直面するだろう、とあなたは彼の武士の剣の裏をかくためにあなたの戦闘の知​​識のすべてを使用する必要があります。|
|MISSION_DESCRIPTION_18|See the prey before it can see you, use the cover of darkness to see the long range snipers before they can strike. Kill 10 snipers to lure out their leader, Isabelle and finish her off before her crosshair targets you.|élite pour attirer leur chef, Isabelle, et tuez-la avant qu'|Osserva la preda prima che ti possa vedere. Serviti dell'oscurità per visualizzare i cecchini a lungo raggio prima che sparino. Uccidi 10 cecchini per attirare il loro leader, Isabelle, e farla fuori ancor prima che possa prendere la mira.|Sehe deine Beute, bevor sie dich sehen kann. Nutze den Schutz der Dunkelheit, um die Scharfschützen zu sehen, bevor sie schießen können. Töte 10 Scharfschützen, um ihre Anführerin Isabelle herauszulocken und töte sie, bevor sie dich in ihr Fadenkreuz nehmen kann.|Mira a la presa antes de que ella te vea a ti. Utiliza la ocultación en la oscuridad para ver a los francotiradores desde larga distancia antes de que puedan atacar. Mata a 10 francotiradores para atraer a su líder, Isabelle y acaba con su frente antes de que estés en su punto de mira.|당신, 그들이 공격하기 전에 장거리 저격수를 보려면 어둠의 커버를 사용하여 볼 수 있습니다 전에 먹이를 참조하십시오. 그들의 지도자, 이사벨을 유혹하고 그녀의 십자선을 대상으로하기 전에 그녀를 마무리하는 10 명의 스나이퍼를 죽이십시오.|それはあなたを見ることができる前に、獲物を参照して、彼らが打つことができる前に長距離狙撃を見て闇のカバーを使用しています。彼らのリーダー、イザベルを誘惑し、彼女の十字はあなたをターゲットにする前に、彼女を終えるために10狙撃兵を殺​​す。|
|MISSION_DESCRIPTION_19|Mombasa was part of the Revolutionary United Front. His guerrilla tactics bring fear to his foes. Let him watch you kill his death squad and finish him off before more reinforcements come to his aid.|Mombasa a fait partie du Front Révolutionnaire Uni. Ses tactiques de guerilla inspirent la peur chez ses ennemis. Laissez-le vous regarder tuer son escouade de la mort et tuez-le avant que les renforts n'arrivent.|Mombasa faceva parte del Fronte Rivoluzionario Unito. Le sue tattiche di guerriglia sono l'incubo di tutti i suoi nemici. Dimostragli che sai mettere la sua squadra al tappeto prima che arrivino altri rinforzi.|Mombasa war Mitglied der Revolutionären Einheitsfront. Seine Guerilla-Taktiken jagen seinen Gegnern Furcht ein. Lasse ihn dabei zusehen, wie du seine Todesschwadron ausschaltest und töte dann ihn, bevor Verstärkung eintrifft.|Mombasa era parte del Frente Revolucionario Unido. Sus tácticas de guerrilla traen el miedo a sus enemigos. Déjale ver como muere su escuadrón y acaba con el antes de que lleguen más refuerzos en su ayuda.|몸바사 혁명 연합 전선의 일부가되었다. 그의 게릴라 전술은 그의 적에게 두려움을 가져옵니다. 그를 당신이 그의 죽음 분대를 죽일 더 많은 지원군 그의 원조에 오기 전에 그를 끝장 볼 수 있습니다.|モンバサは、革命統一戦線の一部であった。彼のゲリラ戦術は、彼の敵に恐怖をもたらす。もっと援軍が彼の助けに来る前に、彼はあなたが彼の死の分隊を殺し、彼を終える見てみましょう。|
|MISSION_DESCRIPTION_2|You will risk injury the longer it takes to kill prey; learn to use your strengths and abilities to slaughter them quickly.|Plus vous mettrez de temps à tuer votre proie, plus vous risquerez d'être blessé. Apprenez à utiliser votre force et vos compétences pour tuer les humains rapidement.|Più tempo è necessario per uccidere la preda, più rischi di rimanere ferito; impara a utilizzare le tue energie e abilità per massacrare gli umani in fretta.|Je länger du beim Töten von Beute brauchst, desto größer ist dein Verletzungsrisiko; lerne deine Kräfte und Fähigkeiten so einzusetzen, um die Menschen schnell abzuschlachten.|Corres riesgos cuanto más tardes en matar la presa; aprende a utilizar tus fuerzas y habilidades para matar a los humanos rápido.|그것은 먹이를 죽이는 데 걸리는 이상 부상 위험을 감수 것이다 신속하게 학살 그들에게 힘과 능력을 사용하는 방법을 배우게.|迅速虐殺それらにあなたの強みと能力を使用することを学ぶ、それは獲物を殺すために時間がかかり怪我を危険にさらすでしょう。|
|MISSION_DESCRIPTION_20|Beware! This human carries twin weapons. Resist the wrath of his clan before he arrives. Speed and stealth are needed to overcome him.|Méfiez-vous ! Cet humain est armé de deux fusils-mitrailleurs. Utlisez votre vitesse et le camouflage pour le vaincre.|Attento! Questo umano ha delle armi gemelle. Resisti all'offensiva del suo clan prima che arrivi. La velocità e la prontezza si riveleranno fondamentali per sbarazzartene.|Achtung! Dieser Mensch trägt Zwillingswaffen. Halte dem Zorn seines Clans Stand, bevor er hinzukommt. Um ihn zu überwältigen braucht es Geschwindigkeit und Tarnung.|¡Ten cuidado! Éste lleva dos armas gemelas. Resiste la ira de su clan antes de que llegue. La velocidad y la cautela son necesarias para vencerlo.|조심! 이 사람은 쌍둥이 무기를 운반합니다. 그가 도착하기 전에 그의 일족의 분노를 저항한다. 속도와 스텔스는 그를 극복하기 위해 필요합니다.|気をつけろ！この人間は双子の武器を運ぶ。彼が到着する前に彼の一族の怒りに抵抗する。スピードとステルスは、彼を克服するために必要とされる。|
|MISSION_DESCRIPTION_21|This commando is armed with an awesome weapon; its firepower creates a storm of bullets that will cut down the mightiest trees. Stay clear and block the hail of firepower; let down your guard and you will die without honor.|Ce commandopossède une arme formidable dont la puissance de feu peut créer une pluie de balles capable de réduire en charpie les plus gros arbres de la jungle. Evitez les balles et restez vigilant si vous ne voulez pas vous faire abattre! Abaissez votre garde et vous mourrez sans honneur.|Il commando possiede un'arma fantastica; la sua potenza è in grado di creare una tempesta di proiettili che può spezzare anche gli alberi più imponenti. Stai alla larga e blocca la pioggia di proiettili; se terrai abbassata la guardia, morirai senza onore!|Der Kommandosoldat ist mit einer furchteinflößenden Waffe ausgestattet; ihre Feuerkraft kann einen Kugelhagel erzeugen, der selbst die mächtigsten Bäume des Dschungels fällt. Halte dich fern und blocke den Kugelhagel; lasse deine Deckung nach und du wirst ohne Ehre streben.|Este comando está armado con un arma poderosa; su potencia de fuego crea una tormenta de balas que talarán los árboles más fuertes. Mantente apartado y bloquea la lluvia de fuego; baja la guardia y morirás sin honor.|이 특공대는 굉장한 무기로 무장, 그 화력이 가장 강한 나무를 잘라 버릴 꺼야 총알의 폭풍을 만듭니다. 귀하의 가드를 실망하고 명예없이 죽을 것이다 취소 및 화력 우박을 차단있어.|この部隊は素晴らしい武器で武装され、その火力は最強の木を伐採します弾丸の嵐を作成します。明確な滞在と火力の雹をブロックする、あなたのガードを失望させ、あなたが名誉ずに死んでしまう。|
|MISSION_DESCRIPTION_22|The humans have joined forces to hunt you down. They will swarm you in waves. Resist their attacks and remind them they are the prey.|Les humains ont joint leurs forces pour vous traquer. Ils vous attaqueront en vagues. Résistez à leurs attaques et rappelez-leur que ce sont eux les proies.|Gli umani hanno abbastanza forze per farti fuori. Dovrai subire ondate di attacchi. Resisti alla loro offensiva e ricordagli che sono loro le prede.|Die Menschen haben sich zusammengeschlossen, um dich zu jagen. Sie werden in Wellen ausschwärmen. Halte ihren Angriffen Stand und erinnere sie daran, dass sie die Beute sind.|Los humanos han unidos sus fuerzas para cazar. Ellos te rodearan en ondas. Resiste sus ataques y recuérdales que son la presa.|인간은 당신을 사냥하는 세력에 합류했다. 그들은 파도에 떼를 것입니다. 공격을 저항하고 그들이 먹이를 생각 나게한다.|人間はあなたを追い詰めるために力を合わせました。彼らは波のように群れあなたを務める。彼らの攻撃に抵抗し、彼らが獲物である、それらを思い出させる。|
|MISSION_DESCRIPTION_23|ve almost attained the goal of becoming the supreme hunter of our clan. The elusive Noland has escaped us until now. Force him to come out of his hiding place by harvesting the heads of his brethren. Prove your worth as a hunter; bring us honor, glory, and Noland'|insaisissable Noland nous a échappé jusqu'|evasivo Noland ci è sfuggito fino ad ora. Cerca di farlo uscire dal suo nascondiglio facendo fuori i suoi  compagni. Prova d'|Fast hast du das Ziel erreicht, der oberste Jäger unseres Clans zu werden. Der trügerische Noland ist uns bis jetzt entkommen. Zwinge ihn dazu, sein Versteck zu verlassen. Stelle Deinen Wert als Jäger unter Beweis; bringe uns Ehre, Ruhm und den Kopf von Noland.|Ya casi has conseguido el objetivo de convertirte en el cazador supremo de tu clan. El esquivo Noland se nos ha escapado hasta ahora. Fuérzalo a que salga de su escondite por la recolección de cabezas de sus hermanos. tráenos honor, gloria y la cabeza de Noland.|적이 거의 우리 일족의 최고 사냥꾼되기의 목표를 달성. 어려운 놀 랜드는 지금까지 우리를 탈출했다. 그의 형제의 머리를 수확하여 자신의 은신처에서 나오는 강제로. 자신의 가치 사냥꾼으로 증명; 우리에게 영광을 가지고, 영광과 놀 랜드 '|VEはほとんど私たちの一族の最高のハンターになるという目標を達成しました。とらえどころノーランドは、今まで私たちを脱出した。彼は彼の兄弟の頭を収穫することによって彼の隠れ場所から出てくるように強制する。ハンターとして自分の価値を証明する、私たちの名誉、栄光、そしてノーランド 'をもたらす|
|MISSION_DESCRIPTION_24|The smell of human blood is drawing in the Predators' Hunting Dogs; once their frenzied attack starts it will not stop! Kill them or suffer the consequence...death.|L'odeur du sang humain attire les chiens de chasse Predator ; quand ils commencent à attaquer, rien ne les arrête! Tuez les ou vous en subirez les conséquences…la mort.|L'odore di sangue umano sta attirando i Cani da caccia Predator. Una volta che il loro attacco frenetico avrà inizio, non si fermerà più! Uccidili o ne pagherai le conseguenze con la morte.|Der Geruch von menschlichem Blut zieht die Jagdhunde der Predators an. Einmal in Blutrausch versetzt, kann nichts ihren Angriff stoppen! Töte sie oder trage die Folgen…Tod.|El olor de la sangre humana atrae a los perros predators cazadores; ¡una vez comience su ataque frenético no parará!.Matalos o sufre las consecuencias... la muerte.|인간의 피 냄새가 포식자 '사냥 개에 받고있다, 그들의 열광적 인 공격은 멈추지 않을 것입니다 일단 시작! 그들을 죽이거나 결과 ... 죽음을 고통.|ヒト血液の匂いが捕食 '狩猟犬で描画され、彼らの熱狂的な攻撃は、それが停止しません開始されると！それらを殺すか、結果...死に苦しむ。|
|MISSION_DESCRIPTION_25|We are now the hunted ones! The Dog Handler Predator controls the canine attacks. Fend off the dogs and kill their master before his Razor Whip slices you in half.|Nous sommes traqués maintenant! Le Maître-chien contrôle les attaques de sa horde. Evitez les chiens et tuez leur maître avant que son fouet tranchant ne vous coupe en deux|Ora siamo noi a essere cacciati! Il Predator Dog Handler dirige gli attacchi canini. Evita i cani e uccidi il loro padrone prima che la sua Frusta affilata ti tagli in due.|Jetzt sind wir die Gejagten! Der Hundeführer-Predator kontrolliert die Attacken der Hunde. Wehre die Hunde ab und töte ihren Meister bevor seine Klingen-Peitsche dich halbiert.|Ahora somos los perseguidos ! El adiestrador de perros Predator controla el ataque de los cánidos. Esquiva a los perros y mata a su maestro antes de su látigo de sierra te parta en dos.|우리는 지금 사냥 사람입니다! 개 핸들러 프레데터 송곳니 공격을 제어합니다. 개를 내려 자신의 면도기 채찍 조각 당신이 반 전에 자신의 주인을 죽인다.|我々は今、狩りものです！犬のハンドラープレデターは犬の攻撃を制御します。犬をかわすと彼のかみそりホイップスライスし半分にする前に、彼らの主人を殺す。|
|MISSION_DESCRIPTION_26|Master the Razor Whip; use the humans to perfect your skills. The whip will trap and slice them to pieces.|Maîtrisez le fouet tranchant; servez-vous des humains pour perfectionner votre technique. Le fouet les découpera en morceaux.|Padroneggia la Frusta tagliente: utilizza gli esseri umani per migliorare le tue capacità. La frusta li intrappolerà e li farà a pezzi.|Meistere die Klingenpeitsche: benutze die Menschen, um deine Fähigkeiten zu perfektionieren. Die Peitsche wird sie einfangen und in Stücke schneiden.|Domina el látigo de sierra: utiliza a los humanos para perfeccionar tus habilidades. El látigo los atrapará y cortará en pedazos.|면도기 채찍을 마스터, 당신의 능력을 완벽하게 인간을 사용합니다. 채찍 함정 조각에 슬라이스합니다.|カミソリ鞭をマスター、あなたのスキルを完璧に人間を使用しています。鞭は、ト​​ラップと作品にそれらをスライスします。|
|MISSION_DESCRIPTION_27|A new danger now strikes from above. The Falconer Predator has released the hawks. Not even your cloaking abilities allow you to evade their acute senses.|Un nouveau danger vient des airs, le fauconnier a lâché ses oiseaux. Même votre pouvoir de camouflage ne vous permet pas d'échapper à leurs sens surdéveloppés|Ora un nuovo pericolo arriva dall'alto. Il Falconer Predator ha liberato i falchi. Anche le tue abilità di renderti invisibile non possono nulla contro i loro sensi acutissimi.|Eine neue Gefahr schlägt jetzt von oben zu. Der Falkner-Predator hat seine Falken losgelassen. Nicht einmal deine Tarnfähigkeiten helfen dir, ihren scharfen Sinnen zu entgehen.|Un nuevo peligro viene de arriba. El Predator cetrero ha soltado los halcones. Ni tus habilidades de camuflaje te permiten evadir sus agudos sentidos.|새로운 위험은 이제 위에서 친다. 팔 코너 프레데터 매를 출시했습니다. 심지어 당신의 클로킹 능력은 당신이 그들의 급성 감각을 회피 할 수 있습니다.|新たな危険性は今上から打つ。ファルコナープレデターはタカをリリースしました。しないも、あなたのクローキング能力は、あなたが彼らの急性感覚を回避することができます。|
|MISSION_DESCRIPTION_28|The other clans sent a hunting party to take your trophy. Decapitate the Falconer and Tracker Predators then feed their flesh to their beasts.|Les autres clans ont envoyés des prédateurs pour vous prendre votre trophé. Décapitez le Prédateur Fauconnier et le Prédateur Tracker pour donnez les à manger à leur bêtes.|Gli altri clan hanno organizzato un imboscata per farti fuori. Decapita il Falconer e il Predator Tracker poi then feed their flesh to their beasts.|Die anderen Clans haben eine Jägertruppe ausgesandt um deine Tophäe zu stehlen. Enthaupte den Falconer und den Tracker-Predator und füttere Sie mit ihrem eigenen Fleisch.|Los otros clanes han enviado una partida de caza para coger tu trofeo. Decapita a Falconer y a los Predator seguidores y después dales de comer su carne a las bestias.|다른 씨족은 트로피를 데리고 사냥 파티를 보냈다. 팔 및 트래커 프레데터는 자신의 짐승에 자신의 육체를 공급 목을 베다.|他の氏族は、トロフィーを取るために狩猟パーティーを送った。彼らの獣に自分の肉を食べ、その後ファルコナーとトラッカープレデターの首を刈る。|
|MISSION_DESCRIPTION_29|Your enemies are fighting each other; exploit this using your stealth abilities to isolate your prey and take their heads.|Vos énemis se combattent entre eux; utilisez ceci à votre avantage grâce à votre capacité d'infiltration pour isoler les proies et prendre leurs têtes.|I tuoi nemici si attaccano tra loro. Sfrutta questa situazione utilizzando le tue capacità di camuffarti per isolare la tua preda.|Dein Feinde bekämpfen einander; Nutze dies indem du deine Stealth-Fähigkeiten nutzt um deine Beute zu isolieren und ihren Kopf zu erhalten.|Tus enemigos están luchando entre si, aprovecha esto utilizando tus habilidades de sigilo para aislar a tu presa y tomar la cabeza|원수는 서로 싸우고, 당신의 먹이를 분리하고 머리를 가지고 당신의 스텔스 능력을 사용하여이를 악용.|あなたの敵はお互いに戦っているが、これはあなたの獲物を分離し、頭を取るためにあなたのステルス能力を使って利用する。|
